SYMBOL,NAME
AERONEU,Aeroflex Neu Limited
AETHER,Aether Industries Limited
AFCONS,Afcons Infrastructure Limited
AFFLE,Affle 3I Limited
AFFORDABLE,Affordable Robotic & Automation Limited
AFIL,Akme Fintrade (India) Limited
AFSL,Abans Financial Services Limited
AGARIND,Agarwal Industrial Corporation Limited
AGARWALEYE,Dr. Agarwal'S Health Care Limited
AGI,Agi Greenpac Limited
AGIIL,Agi Infra Limited
AGRITECH,Agri-Tech (India) Limited
AGROPHOS,Agro Phos India Limited
AHCL,Anlon Healthcare Limited
AHLADA,Ahlada Engineers Limited
AHLEAST,Asian Hotels (East) Limited
AHLUCONT,Ahluwalia Contracts (India) Limited
AHLWEST,Asian Hotels (West) Limited
AIAENG,Aia Engineering Limited
AIIL,Authum Investment & Infrastructure Limited
AIRAN,Airan Limited
AIROLAM,Airo Lam Limited
AJANTPHARM,Ajanta Pharma Limited
AJAXENGG,Ajax Engineering Limited
AJMERA,Ajmera Realty & Infra India Limited
AJOONI,Ajooni Biotech Limited
AKASH,Akash Infra-Projects Limited
AKCAPIT,Ak Capital Services Limited
AKG,Akg Exim Limited
AKI,Aki India Limited
AKSHAR,Akshar Spintex Limited
AKSHARCHEM,Aksharchem India Limited
AKSHOPTFBR,Aksh Optifibre Limited
AKUMS,Akums Drugs And Pharmaceuticals Limited
ALANKIT,Alankit Limited
ALBERTDAVD,Albert David Limited
ALEMBICLTD,Alembic Limited
ALGOQUANT,Algoquant Fintech Limited
ALICON,Alicon Castalloy Limited
ALIVUS,Alivus Life Sciences Limited
ALKALI,Alkali Metals Limited
ALKEM,Alkem Laboratories Limited
ALKYLAMINE,Alkyl Amines Chemicals Limited
ALLCARGO,Allcargo Logistics Limited
ALLDIGI,Alldigi Tech Limited
ALLTIME,All Time Plastics Limited
ALMONDZ,Almondz Global Securities Limited
ALOKINDS,Alok Industries Limited
ALPA,Alpa Laboratories Limited
ALPHAGEO,Alphageo (India) Limited
AMAGI,Amagi Media Labs Limited
AMANTA,Amanta Healthcare Limited
AMBALALSA,Ambalal Sarabhai Enterprises Limited
AMBER,Amber Enterprises India Limited
AMBICAAGAR,Ambica Agarbathies & Aroma Industries Limited
AMBIKCO,Ambika Cotton Mills Limited
AMBUJACEM,Ambuja Cements Limited
AMDIND,Amd Industries Limited
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited
AMJLAND,Amj Land Holdings Limited
AMNPLST,Amines & Plasticizers Limited
AMRUTANJAN,Amrutanjan Health Care Limited
ANANDRATHI,Anand Rathi Wealth Limited
ANANTRAJ,Anant Raj Limited
ANDHRAPAP,Andhra Paper Limited
ANDHRSUGAR,The Andhra Sugars Limited
ANGELONE,Angel One Limited
ANIKINDS,Anik Industries Limited
ANKITMETAL,Ankit Metal & Power Limited
ANMOL,Anmol India Limited
ANSALAPI,Ansal Properties & Infrastructure Limited
ANTELOPUS,Antelopus Selan Energy Limited
ANTGRAPHIC,Antarctica Limited
ANTHEM,Anthem Biosciences Limited
ANUHPHR,Anuh Pharma Limited
ANUP,The Anup Engineering Limited
ANURAS,Anupam Rasayan India Limited
APARINDS,Apar Industries Limited
APCL,Anjani Portland Cement Limited
APCOTEXIND,Apcotex Industries Limited
APEX,Apex Frozen Foods Limited
APLAPOLLO,Apl Apollo Tubes Limited
APLLTD,Alembic Pharmaceuticals Limited
APOLLO,Apollo Micro Systems Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
APOLLOPIPE,Apollo Pipes Limited
APOLLOTYRE,Apollo Tyres Limited
APOLSINHOT,Apollo Sindoori Hotels Limited
APTECHT,Aptech Limited
APTUS,Aptus Value Housing Finance India Limited
AQYLON,Aqylon Nexus Limited
ARCHIDPLY,Archidply Industries Limited
ARCHIES,Archies Limited
ARE&M,Amara Raja Energy & Mobility Limited
ARENTERP,Rajdarshan Industries Limited
ARFIN,Arfin India Limited
ARIES,Aries Agro Limited
ARIHANT,Arihant Foundations & Housing Limited
ARIHANTCAP,Arihant Capital Markets Limited
ARIHANTSUP,Arihant Superstructures Limited
ARIS,Arisinfra Solutions Limited
ARKADE,Arkade Developers Limited
ARMANFIN,Arman Financial Services Limited
AROGRANITE,Aro Granite Industries Limited
ARROWGREEN,Arrow Greentech Limited
ARSHIYA,Arshiya Limited
ARSSBL,Anand Rathi Share And Stock Brokers Limited
ARTEMISMED,Artemis Medicare Services Limited
ARTNIRMAN,Art Nirman Limited
ARVEE,Arvee Laboratories (India) Limited
ARVIND,Arvind Limited
ARVINDFASN,Arvind Fashions Limited
ARVSMART,Arvind Smartspaces Limited
ASAHIINDIA,Asahi India Glass Limited
ASAHISONG,Asahi Songwon Colors Limited
ASAL,Automotive Stampings And Assemblies Limited
ASALCBR,Associated Alcohols & Breweries Ltd.
ASHAPURMIN,Ashapura Minechem Limited
ASHIANA,Ashiana Housing Limited
ASHIKA,Ashika Credit Capital Limited
ASHIMASYN,Ashima Limited
ASHOKA,Ashoka Buildcon Limited
ASHOKAMET,Ashoka Metcast Limited
ASHOKLEY,Ashok Leyland Limited
ASIANENE,Asian Energy Services Limited
ASIANHOTNR,Asian Hotels (North) Limited
ASIANPAINT,Asian Paints Limited
ASIANTILES,Asian Granito India Limited
ASKAUTOLTD,Ask Automotive Limited
ASMS,Bartronics India Limited
ASPINWALL,Aspinwall And Company Limited
ASTAR,Asian Star Company Limited
ASTEC,Astec Lifesciences Limited
ASTERDM,Aster Dm Healthcare Limited
ASTRAL,Astral Limited
ASTRAMICRO,Astra Microwave Products Limited
ASTRAZEN,Astrazeneca Pharma India Limited
ASTRON,Astron Paper & Board Mill Limited
ATALREAL,Atal Realtech Limited
ATAM,Atam Valves Limited
ATGL,Adani Total Gas Limited
ATHERENERG,Ather Energy Limited
ATL,Allcargo Terminals Limited
ATLANTAA,Atlantaa Limited
ATLANTAELE,Atlanta Electricals Limited
ATLASCYCLE,Atlas Cycles (Haryana) Limited
ATUL,Atul Limited
ATULAUTO,Atul Auto Limited
AUBANK,Au Small Finance Bank Limited
AURIGROW,Auri Grow India Limited
AURIONPRO,Aurionpro Solutions Limited
AUROPHARMA,Aurobindo Pharma Limited
AURUM,Aurum Proptech Limited
AUSOMENT,Ausom Enterprise Limited
AUTOAXLES,Automotive Axles Limited
AUTOIND,Autoline Industries Limited
AVADHSUGAR,Avadh Sugar & Energy Limited
AVAILFC,Available Finance Limited
AVALON,Avalon Technologies Limited
AVANTEL,Avantel Limited
AVANTIFEED,Avanti Feeds Limited
AVG,Avg Logistics Limited
AVL,Aditya Vision Limited
AVONMORE,Avonmore Capital & Management Services Limited
AVROIND,Avro India Limited
AVTNPL,Avt Natural Products Limited
AWFIS,Awfis Space Solutions Limited
AWHCL,Antony Waste Handling Cell Limited
AWL,Awl Agri Business Limited
AXISBANK,Axis Bank Limited
AXISCADES,Axiscades Technologies Limited
AXITA,Axita Cotton Limited
AYE,Aye Finance Limited
AYMSYNTEX,Aym Syntex Limited
AZAD,Azad Engineering Limited
BAFNAPH,Bafna Pharmaceuticals Limited
BAGFILMS,B.A.G Films And Media Limited
BAIDFIN,Baid Finserv Limited
BAJAJ-AUTO,Bajaj Auto Limited
BAJAJCON,Bajaj Consumer Care Limited
BAJAJELEC,Bajaj Electricals Limited
BAJAJFINSV,Bajaj Finserv Limited
BAJAJHCARE,Bajaj Healthcare Limited
BAJAJHFL,Bajaj Housing Finance Limited
BAJAJHIND,Bajaj Hindusthan Sugar Limited
BAJAJHLDNG,Bajaj Holdings & Investment Limited
BAJAJINDEF,Indef Manufacturing Limited
BAJAJST,Bajaj Steel Industries Limited
BAJEL,Bajel Projects Limited
BAJFINANCE,Bajaj Finance Limited
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited
BALAJITELE,Balaji Telefilms Limited
BALAMINES,Balaji Amines Limited
BALAXI,Balaxi Pharmaceuticals Limited
BALKRISHNA,Balkrishna Paper Mills Limited
BALKRISIND,Balkrishna Industries Limited
BALMLAWRIE,Balmer Lawrie & Company Limited
BALPHARMA,Bal Pharma Limited
BALRAMCHIN,Balrampur Chini Mills Limited
BALUFORGE,Balu Forge Industries Limited
BANARBEADS,Banaras Beads Limited
BANARISUG,Bannari Amman Sugars Limited
BANCOINDIA,Banco Products (I) Limited
BANDHANBNK,Bandhan Bank Limited
BANG,Bang Overseas Limited
BANKA,Banka Bioloo Limited
BANKBARODA,Bank Of Baroda
BANKINDIA,Bank Of India
BANSALWIRE,Bansal Wire Industries Limited
BANSWRAS,Banswara Syntex Limited
BASF,Basf India Limited
BASML,Bannari Amman Spinning Mills Limited
BATAINDIA,Bata India Limited
BATLIBOI,Batliboi Limited
BAYERCROP,Bayer Cropscience Limited
BBL,Bharat Bijlee Limited
BBOX,Black Box Limited
BBTC,The Bombay Burmah Trading Corporation Limited
BBTCL,B&B Triplewall Containers Limited
BCG,Brightcom Group Limited
BCLIND,Bcl Industries Limited
BCONCEPTS,Brand Concepts Limited
BCPL,Bcpl Railway Infrastructure Limited
BDL,Bharat Dynamics Limited
BEARDSELL,Beardsell Limited
BECTORFOOD,Mrs. Bectors Food Specialities Limited
BEDMUTHA,Bedmutha Industries Limited
BEEKAY,Beekay Steel Industries Limited
BEL,Bharat Electronics Limited
BELLACASA,Bella Casa Fashion & Retail Limited
BELRISE,Belrise Industries Limited
BEML,Beml Limited
BENGALASM,Bengal & Assam Company Limited
BEPL,Bhansali Engineering Polymers Limited
BERGEPAINT,Berger Paints (I) Limited
BESTAGRO,Best Agrolife Limited
BETA,Beta Drugs Limited
BFINVEST,Bf Investment Limited
BFUTILITIE,Bf Utilities Limited
BGRENERGY,Bgr Energy Systems Limited
BHAGCHEM,Bhagiradha Chemicals & Industries Limited
BHAGERIA,Bhageria Industries Limited
BHAGYANGR,Bhagyanagar India Limited
BHANDARI,Bhandari Hosiery Exports Limited
BHARATCOAL,Bharat Coking Coal Limited
BHARATFORG,Bharat Forge Limited
BHARATGEAR,Bharat Gears Limited
BHARATRAS,Bharat Rasayan Limited
BHARATSE,Bharat Seats Limited
BHARATWIRE,Bharat Wire Ropes Limited
BHARTIARTL,Bharti Airtel Limited
BHARTIHEXA,Bharti Hexacom Limited
BHEL,Bharat Heavy Electricals Limited
BI,Bilcare Limited
BIGBLOC,Bigbloc Construction Limited
BIKAJI,Bikaji Foods International Limited
BIL,Bhartiya International Limited
BIMETAL,Bimetal Bearings Limited
BIOCON,Biocon Limited
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited
BIRLACABLE,Birla Cable Limited
BIRLACORPN,Birla Corporation Limited
BIRLAMONEY,Aditya Birla Money Limited
BIRLANU,Birlanu Limited
BIRLAPREC,Birla Precision Technologies Limited
BLACKBUCK,Blackbuck Limited
BLACKROSE,Black Rose Inds. Limited
BLAL,Beml Land Assets Limited
BLBLIMITED,Blb Limited
BLIL,Balmer Lawrie Investments Limited
BLISSGVS,Bliss Gvs Pharma Limited
BLKASHYAP,B. L. Kashyap And Sons Limited
BLS,Bls International Services Limited
BLSE,Bls E-Services Limited
BLUECHIP,Blue Chip India Limited
BLUECOAST,Blue Coast Hotels Limited
BLUEDART,Blue Dart Express Limited
BLUEJET,Blue Jet Healthcare Limited
BLUESTARCO,Blue Star Limited
BLUESTONE,Bluestone Jewellery And Lifestyle Limited
BLUSPRING,Bluspring Enterprises Limited
BMWVENTLTD,Bmw Ventures Limited
BNAGROCHEM,Bn Agrochem Limited
BNALTD,B & A Limited
BODALCHEM,Bodal Chemicals Limited
BOHRAIND,Bohra Industries Limited
BOMDYEING,Bombay Dyeing & Mfg Company Limited
BONLON,Bonlon Industries Limited
BORANA,Borana Weaves Limited
BOROLTD,Borosil Limited
BORORENEW,Borosil Renewables Limited
BOROSCI,Borosil Scientific Limited
BOSCH-HCIL,Bosch Home Comfort India Limited
BOSCHLTD,Bosch Limited
BPCL,Bharat Petroleum Corporation Limited
BPL,Bpl Limited
BRIGADE,Brigade Enterprises Limited
BRIGHOTEL,Brigade Hotel Ventures Limited
BRITANNIA,Britannia Industries Limited
BRNL,Bharat Road Network Limited
BROOKS,Brooks Laboratories Limited
BSE,Bse Limited
BSHSL,Bombay Super Hybrid Seeds Limited
BSL,Bsl Limited
BSOFT,Birlasoft Limited
BTML,Bodhi Tree Multimedia Limited
BTTL,Bhilwara Technical Textiles Limited
BUILDPRO,Shankara Buildpro Limited
BUTTERFLY,Butterfly Gandhimathi Appliances Limited
BVCL,Barak Valley Cements Limited
BYKE,The Byke Hospitality Ltd
CALSOFT,California Software Company Limited
CAMLINFINE,Camlin Fine Sciences Limited
CAMPUS,Campus Activewear Limited
CAMS,Computer Age Management Services Limited
CANBK,Canara Bank
CANFINHOME,Can Fin Homes Limited
CANHLIFE,Canara Hsbc Life Insurance Company Limited
CANTABIL,Cantabil Retail India Limited
CAPACITE,Capacit'E Infraprojects Limited
CAPILLARY,Capillary Technologies India Limited
CAPITALSFB,Capital Small Finance Bank Limited
CAPLIPOINT,Caplin Point Laboratories Limited
CAPTRUST,Capital Trust Limited
CARBORUNIV,Carborundum Universal Limited
CARERATING,Care Ratings Limited
CARRARO,Carraro India Limited
CARTRADE,Cartrade Tech Limited
CARYSIL,Carysil Limited
CASTROLIND,Castrol India Limited
CCAVENUE,Avenuesai Limited
CCCL,Consolidated Construction Consortium Limited
CCHHL,Country Club Hospitality & Holidays Limited
CCL,Ccl Products (India) Limited
CDSL,Central Depository Services (India) Limited
CEATLTD,Ceat Limited
CEIGALL,Ceigall India Limited
CEINSYS,Ceinsys Tech Limited
CELEBRITY,Celebrity Fashions Limited
CELLO,Cello World Limited
CEMPRO,Cemindia Projects Limited
CENTENKA,Century Enka Limited
CENTEXT,Century Extrusions Limited
CENTRALBK,Central Bank Of India
CENTRUM,Centrum Capital Limited
CENTUM,Centum Electronics Limited
CENTURYPLY,Century Plyboards (India) Limited
CERA,Cera Sanitaryware Limited
CEREBRAINT,Cerebra Integrated Technologies Limited
CESC,Cesc Limited
CEWATER,Concord Enviro Systems Limited
CGCL,Capri Global Capital Limited
CGPOWER,Cg Power And Industrial Solutions Limited
CHALET,Chalet Hotels Limited
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
CHEMBOND,Chembond Material Technologies Limited
CHEMBONDCH,Chembond Chemicals Limited
CHEMCON,Chemcon Speciality Chemicals Limited
CHEMFAB,Chemfab Alkalis Limited
CHEMPLASTS,Chemplast Sanmar Limited
CHENNPETRO,Chennai Petroleum Corporation Limited
CHEVIOT,Cheviot Company Limited
CHOICEIN,Choice International Limited
CHOLAFIN,Cholamandalam Investment And Finance Company Limited
CHOLAHLDNG,Cholamandalam Financial Holdings Limited
CIEINDIA,Cie Automotive India Limited
CIFL,Capital India Finance Limited
CIGNITITEC,Cigniti Technologies Limited
CINELINE,Cineline India Limited
CINEVISTA,Cinevista Limited
CIPLA,Cipla Limited
CLEAN,Clean Science And Technology Limited
CLEANMAX,Clean Max Enviro Energy Solutions Limited
CLEDUCATE,Cl Educate Limited
CLSEL,Chaman Lal Setia Exports Limited
CMPDI,Central Mine Planning & Design Institute Limited
CMSINFO,Cms Info Systems Limited
CNL,Creative Newtech Limited
COALINDIA,Coal India Limited
COASTCORP,Coastal Corporation Limited
COCHINSHIP,Cochin Shipyard Limited
COCKERILL,John Cockerill India Limited
COFFEEDAY,Coffee Day Enterprises Limited
COFORGE,Coforge Limited
COHANCE,Cohance Lifesciences Limited
COLPAL,Colgate Palmolive (India) Limited
COMFINTE,Comfort Intech Limited
COMPINFO,Compuage Infocom Limited
COMPUSOFT,Compucom Software Limited
COMSYN,Commercial Syn Bags Limited
CONCOR,Container Corporation Of India Limited
CONCORDBIO,Concord Biotech Limited
CONFIPET,Confidence Petroleum India Limited
CONSOFINVT,Consolidated Finvest & Holdings Limited
CONTROLPR,Control Print Limited
CORALFINAC,Coral India Finance & Housing Limited
CORDSCABLE,Cords Cable Industries Limited
COROMANDEL,Coromandel International Limited
CORONA,Corona Remedies Limited
COSMOFIRST,Cosmo First Limited
COUNCODOS,Country Condo'S Limited
CPCAP,Cp Capital Limited
CPEDU,Career Point Edutech Limited
CPPLUS,Aditya Infotech Limited
CRAFTSMAN,Craftsman Automation Limited
CRAMC,Canara Robeco Asset Management Company Limited
CREATIVEYE,Creative Eye Limited
CREDITACC,Creditaccess Grameen Limited
CREST,Crest Ventures Limited
CRISIL,Crisil Limited
CRIZAC,Crizac Limited
CROMPTON,Crompton Greaves Consumer Electricals Limited
CROWN,Crown Lifters Limited
CSBBANK,Csb Bank Limited
CSLFINANCE,Csl Finance Limited
CTE,Cambridge Technology Enterprises Limited
CUB,City Union Bank Limited
CUBEXTUB,Cubex Tubings Limited
CUMMINSIND,Cummins India Limited
CUPID,Cupid Limited
CURAA,Cura Technologies Limited
CYBERMEDIA,Cyber Media (India) Limited
CYBERTECH,Cybertech Systems And Software Limited
CYIENT,Cyient Limited
CYIENTDLM,Cyient Dlm Limited
DABUR,Dabur India Limited
DAICHI,Dai-Ichi Karkaria Limited
DALBHARAT,Dalmia Bharat Limited
DALMIASUG,Dalmia Bharat Sugar And Industries Limited
DAMCAPITAL,Dam Capital Advisors Limited
DAMODARIND,Damodar Industries Limited
DANGEE,Dangee Dums Limited
DATAMATICS,Datamatics Global Services Limited
DATAPATTNS,Data Patterns (India) Limited
DAVANGERE,Davangere Sugar Company Limited
DBCORP,D.B.Corp Limited
DBEIL,Deepak Builders & Engineers India Limited
DBL,Dilip Buildcon Limited
DBOL,Dhampur Bio Organics Limited
DBREALTY,Valor Estate Limited
DBSTOCKBRO,Db (International) Stock Brokers Limited
DCAL,Dishman Carbogen Amcis Limited
DCBBANK,Dcb Bank Limited
DCI,Dc Infotech And Communication Limited
DCM,Dcm  Limited
DCMFINSERV,Dcm Financial Services Limited
DCMNVL,Dcm Nouvelle Limited
DCMSHRIRAM,Dcm Shriram Limited
DCMSIL,Dcm Shriram International Limited
DCMSRIND,Dcm Shriram Industries Limited
DCW,Dcw Limited
DCXINDIA,Dcx Systems Limited
DDEVPLSTIK,Ddev Plastiks Industries Limited
DECCANCE,Deccan Cements Limited
DECNGOLD,Deccan Gold Mines Limited
DEEDEV,Dee Development Engineers Limited
DEEPAKFERT,Deepak Fertilizers And Petrochemicals Corporation Limited
DEEPAKNTR,Deepak Nitrite Limited
DEEPINDS,Deep Industries Limited
DELHIVERY,Delhivery Limited
DELPHIFX,Delphi World Money Limited
DELTACORP,Delta Corp Limited
DELTAMAGNT,Delta Manufacturing Limited
DEN,Den Networks Limited
DENORA,De Nora India Limited
DENTA,Denta Water And Infra Solutions Limited
DEVIT,Dev Information Technology Limited
DEVX,Dev Accelerator Limited
DEVYANI,Devyani International Limited
DGCONTENT,Digicontent Limited
DHAMPURSUG,Dhampur Sugar Mills Limited
DHANBANK,Dhanlaxmi Bank Limited
DHANUKA,Dhanuka Agritech Limited
DHARMAJ,Dharmaj Crop Guard Limited
DHRUV,Dhruv Consultancy Services Limited
DHUNINV,Dhunseri Investments Limited
DIACABS,Diamond Power Infrastructure Limited
DIAMINESQ,Diamines & Chemicals Limited
DIAMONDYD,Prataap Snacks Limited
DICIND,Dic India Limited
DIFFNKG,Diffusion Engineers Limited
DIGIDRIVE,Digidrive Distributors Limited
DIGISPICE,Digispice Technologies Limited
DIGITIDE,Digitide Solutions Limited
DIGJAMLMTD,Digjam Limited
DISAQ,Disa India Limited
DISHTV,Dish Tv India Limited
DIVGIITTS,Divgi Torqtransfer Systems Limited
DIVISLAB,Divi'S Laboratories Limited
DIXON,Dixon Technologies (India) Limited
DJML,Dj Mediaprint & Logistics Limited
DLF,Dlf Limited
DLINKINDIA,D-Link (India) Limited
DMART,Avenue Supermarts Limited
DMCC,Dmcc Speciality Chemicals Limited
DNAMEDIA,Diligent Media Corporation Limited
DODLA,Dodla Dairy Limited
DOLATALGO,Dolat Algotech Limited
DOLLAR,Dollar Industries Limited
DOLPHIN,Dolphin Offshore Enterprises (India) Limited
DOMS,Doms Industries Limited
DONEAR,Donear Industries Limited
DPABHUSHAN,D. P. Abhushan Limited
DPSCLTD,Dpsc Limited
DPWIRES,D P Wires Limited
DRAGARWQ,Dr Agarwals Eye Hospital Limited
DRCSYSTEMS,Drc Systems India Limited
DREAMFOLKS,Dreamfolks Services Limited
DREDGECORP,Dredging Corporation Of India Limited
DRREDDY,Dr. Reddy'S Laboratories Limited
DSFCL,Dcm Shriram Fine Chemicals Limited
DSSL,Dynacons Systems & Solutions Limited
DTIL,Dhunseri Tea & Industries Limited
DUCON,Ducon Infratechnologies Limited
DVL,Dhunseri Ventures Limited
DWARKESH,Dwarikesh Sugar Industries Limited
DYCL,Dynamic Cables Limited
DYNAMATECH,Dynamatic Technologies Limited
DYNPRO,Dynemic Products Limited
E2E,E2E Networks Limited
EASEMYTRIP,Easy Trip Planners Limited
EASTSILK,Eastern Silk Industries Limited
EBGNG,Gng Electronics Limited
ECLERX,Eclerx Services Limited
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited
EDELWEISS,Edelweiss Financial Services Limited
EFCIL,Efc (I) Limited
EICHERMOT,Eicher Motors Limited
EIDPARRY,Eid Parry India Limited
EIEL,Enviro Infra Engineers Limited
EIFFL,Euro India Fresh Foods Limited
EIHAHOTELS,Eih Associated Hotels Limited
EIHOTEL,Eih Limited
EIMCOELECO,Eimco Elecon (India) Limited
EKC,Everest Kanto Cylinder Limited
ELANTAS,Elantas Beck India Limited
ELCIDIN,El Cid Investments Limited
ELDEHSG,Eldeco Housing And Industries Limited
ELECON,Elecon Engineering Company Limited
ELECTCAST,Electrosteel Castings Limited
ELECTHERM,Electrotherm (India) Limited
ELGIEQUIP,Elgi Equipments Limited
ELGIRUBCO,Elgi Rubber Company Limited
ELIN,Elin Electronics Limited
ELITECON,Elitecon International Limited
ELLEN,Ellenbarrie Industrial Gases Limited
ELPROINTL,Elpro International Limited
EMAMILTD,Emami Limited
EMAMIPAP,Emami Paper Mills Limited
EMAMIREAL,Emami Realty Limited
EMCURE,Emcure Pharmaceuticals Limited
EMIL,Electronics Mart India Limited
EMKAY,Emkay Global Financial Services Limited
EMMBI,Emmbi Industries Limited
EMMVEE,Emmvee Photovoltaic Power Limited
EMPOWER,Empower India Limited
EMSLIMITED,Ems Limited
EMUDHRA,Emudhra Limited
ENDURANCE,Endurance Technologies Limited
ENERGYDEV,Energy Development Company Limited
ENGINERSIN,Engineers India Limited
ENIL,Entertainment Network (India) Limited
ENRIN,Siemens Energy India Limited
ENTERO,Entero Healthcare Solutions Limited
EPACK,Epack Durable Limited
EPACKPEB,Epack Prefab Technologies Limited
EPIGRAL,Epigral Limited
EPL,Epl Limited
EQUIPPP,Equippp Social Impact Technologies Limited
EQUITASBNK,Equitas Small Finance Bank Limited
ERIS,Eris Lifesciences Limited
ESABINDIA,Esab India Limited
ESAFSFB,Esaf Small Finance Bank Limited
ESCORTS,Escorts Kubota Limited
ESSARSHPNG,Essar Shipping Limited
ESSENTIA,Integra Essentia Limited
ESTER,Ester Industries Limited
ETERNAL,Eternal Limited
ETHOSLTD,Ethos Limited
EUREKAFORB,Eureka Forbes Limited
EUROBOND,Euro Panel Products Limited
EUROPRATIK,Euro Pratik Sales Limited
EUROTEXIND,Eurotex Industries And Exports Limited
EVEREADY,Eveready Industries India Limited
EVERESTIND,Everest Industries Limited
EXCELINDUS,Excel Industries Limited
EXCELSOFT,Excelsoft Technologies Limited
EXICOM,Exicom Tele-Systems Limited
EXIDEIND,Exide Industries Limited
EXPLEOSOL,Expleo Solutions Limited
EXXARO,Exxaro Tiles Limited
FABTECH,Fabtech Technologies Limited
FACT,Fertilizers And Chemicals Travancore Limited
FAIRCHEMOR,Fairchem Organics Limited
FAZE3Q,Faze Three Limited
FCL,Fineotex Chemical Limited
FCSSOFT,Fcs Software Solutions Limited
FDC,Fdc Limited
FEDDERSHOL,Fedders Holding Limited
FEDERALBNK,The Federal Bank  Limited
FEDFINA,Fedbank Financial Services Limited
FEL,Future Enterprises Limited
FELDVR,Future Enterprises Limited
FERMENTA,Fermenta Biotech Limited
FIBERWEB,Fiberweb (India) Limited
FIEMIND,Fiem Industries Limited
FILATEX,Filatex India Limited
FILATFASH,Filatex Fashions Limited
FINCABLES,Finolex Cables Limited
FINEORG,Fine Organic Industries Limited
FINKURVE,Finkurve Financial Services Limited
FINOPB,Fino Payments Bank Limited
FINPIPE,Finolex Industries Limited
FIRSTCRY,Brainbees Solutions Limited
FISCHER,Fischer Medical Ventures Limited
FIVESTAR,Five-Star Business Finance Limited
FLAIR,Flair Writing Industries Limited
FLEXITUFF,Flexituff Ventures International Limited
FLFL,Future Lifestyle Fashions Limited
FLUOROCHEM,Gujarat Fluorochemicals Limited
FMGOETZE,Federal-Mogul Goetze (India) Limited.
FMNL,Future Market Networks Limited
FOCUS,Focus Lighting And Fixtures Limited
FOODSIN,Foods & Inns Limited
FORCEMOT,Force Motors Ltd
FORTIS,Fortis Healthcare Limited
FOSECOIND,Foseco India Limited
FRACTAL,Fractal Analytics Limited
FRONTSP,Frontier Springs Limited
FSL,Firstsource Solutions Limited
FUSION,Fusion Finance Limited
